pageId	url	title	lastModified	fetchedAt	size	statusCode	fetched	htmlSnapshot	textSnapshot	lastError
75	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/63.html	Crash Dive (1943)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.0354663Z	6958	200	true	pages\html\page-0075.html	pages\text\page-0075.txt	
76	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/64.html	Outside the Law (2001)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.0690788Z	3775	200	true	pages\html\page-0076.html	pages\text\page-0076.txt	
77	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/65.html	Lost in the Pershing Point Hotel (2000)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.102133Z	5762	200	true	pages\html\page-0077.html	pages\text\page-0077.txt	
78	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/66.html	Barbarian Queen 2 (1989)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.1376324Z	3663	200	true	pages\html\page-0078.html	pages\text\page-0078.txt	
79	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/67.html	Vampire Journals (1997)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.1692806Z	6074	200	true	pages\html\page-0079.html	pages\text\page-0079.txt	
80	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/68.html	Invader Zim (2004)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.202321Z	9570	200	true	pages\html\page-0080.html	pages\text\page-0080.txt	
81	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/69.html	WWE: Armageddon 2003 (2003)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.2335776Z	2996	200	true	pages\html\page-0081.html	pages\text\page-0081.txt	
82	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/70.html	Tai Chi: The 24 Forms (1999)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.2676898Z	3736	200	true	pages\html\page-0082.html	pages\text\page-0082.txt	
83	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/71.html	Maya Lin: A Strong Clear Vision (1995)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.2856378Z	5590	200	true	pages\html\page-0083.html	pages\text\page-0083.txt	
84	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/72.html	At Home Among Strangers (1974)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.318855Z	4027	200	true	pages\html\page-0084.html	pages\text\page-0084.txt	
